,Day,Month,Year,Hour,Demand (kWh),Temp (C),Humidity
0,26,Apr,2018,20,0.2198326996197718,11.600000000000001,84.68
1,26,Apr,2018,21,3.4695700420252154,11.200000000000001,85.83
2,26,Apr,2018,22,6.71265419109681,10.8,86.14
3,26,Apr,2018,23,7.3643420105202635,10.4,85.52
4,27,Apr,2018,0,12.349323110347635,10,84.62
5,27,Apr,2018,1,3.4310608200836406,9.5,86.36
6,27,Apr,2018,2,5.605006341181252,9.200000000000001,88.43
7,27,Apr,2018,3,13.562519569566117,9.1,89.01
8,27,Apr,2018,4,13.290562618364588,9.1,88.43
9,27,Apr,2018,5,6.200066466219519,10.3,81.16
10,27,Apr,2018,6,1.8831236090766574,12.600000000000001,69.44
11,27,Apr,2018,7,0.8518042813455647,14.9,59.94
12,27,Apr,2018,8,0.8518042813455647,17.1,52.36
13,27,Apr,2018,9,0.8518042813455647,19.1,45.58
14,27,Apr,2018,10,0.8518042813455647,20.5,41.35
15,27,Apr,2018,11,0.8518042813455647,21.400000000000002,38.71
16,27,Apr,2018,12,0.8518042813455647,21.900000000000002,37
17,27,Apr,2018,13,0.8518042813455647,21.900000000000002,36.71
18,27,Apr,2018,14,1.5495801917097096,21.5,37.46
19,27,Apr,2018,15,5.851223113493811,21.200000000000003,37.7
20,27,Apr,2018,16,29.564024495967157,19.200000000000003,42.29
21,27,Apr,2018,17,42.81122048936247,16.7,50.38
22,27,Apr,2018,18,63.15319212506556,14,66.73
23,27,Apr,2018,19,55.70554595296845,12.700000000000001,75.97
24,27,Apr,2018,20,41.29614133045746,12.100000000000001,80.58
25,27,Apr,2018,21,34.24514352829694,11.700000000000001,84.31
26,27,Apr,2018,22,27.79095360908743,11.3,87.28
27,27,Apr,2018,23,13.025682659332677,10.8,89.85000000000001
28,28,Apr,2018,0,17.24473826691008,10.5,90.71000000000001
29,28,Apr,2018,1,18.182442847327707,10.200000000000001,91.2
30,28,Apr,2018,2,23.916733631321634,9.9,91.93
31,28,Apr,2018,3,26.8247779983758,9.5,93.45
32,28,Apr,2018,4,22.375761963553973,9.4,93.26
33,28,Apr,2018,5,21.659545543650882,10.8,84.56
34,28,Apr,2018,6,18.00798873421571,13.3,70.63
35,28,Apr,2018,7,17.901691136761134,15.8,56.63
36,28,Apr,2018,8,18.103389931941855,18.1,45.83
37,28,Apr,2018,9,13.451747885495195,20,38.660000000000004
38,28,Apr,2018,10,8.610976801157847,21.400000000000002,33.68
39,28,Apr,2018,11,8.610976801157847,22.200000000000003,31.5
40,28,Apr,2018,12,8.610976801157847,22.6,30.69
41,28,Apr,2018,13,10.35901803827125,22.5,31.11
42,28,Apr,2018,14,14.391059275384649,22,32.39
43,28,Apr,2018,15,11.62146653519579,21.6,33.730000000000004
44,28,Apr,2018,16,19.71955200082099,19.3,40.17
45,28,Apr,2018,17,27.224190716985692,16.7,50.27
46,28,Apr,2018,18,25.6175589094413,14.100000000000001,66.37
47,28,Apr,2018,19,46.69146524004254,12.700000000000001,77.96000000000001
48,28,Apr,2018,20,45.585085575454805,11.9,85.43
49,28,Apr,2018,21,31.10541352716231,11.5,90.57000000000001
50,28,Apr,2018,22,21.521599313529048,11.4,92.65
51,28,Apr,2018,23,13.984842524684048,11.4,92.34
52,29,Apr,2018,0,18.59963245851332,11.100000000000001,93.32000000000001
53,29,Apr,2018,1,23.5614424642913,10.5,95.67
54,29,Apr,2018,2,23.058994866360774,10.100000000000001,96.9
55,29,Apr,2018,3,29.180993747264463,9.8,97.85000000000001
56,29,Apr,2018,4,19.158992865860547,9.700000000000001,97.89
57,29,Apr,2018,5,14.956908814719732,10.8,91.10000000000001
58,29,Apr,2018,6,8.479849766414034,12.700000000000001,78.34
59,29,Apr,2018,7,4.023908007573228,14.600000000000001,65.22
60,29,Apr,2018,8,2.3630136986301387,16.5,56.15
61,29,Apr,2018,9,2.3630136986301387,18.1,50.67
62,29,Apr,2018,10,2.3630136986301387,19.3,46.77
63,29,Apr,2018,11,2.3630136986301387,20.1,44.46
64,29,Apr,2018,12,2.3630136986301387,20.400000000000002,43.550000000000004
65,29,Apr,2018,13,2.3630136986301387,20.3,43.660000000000004
66,29,Apr,2018,14,0.0,19.900000000000002,44.31
67,29,Apr,2018,15,0.0,19.5,45.42
68,29,Apr,2018,16,0.0,17.8,51.08
69,29,Apr,2018,17,1.8497837837837852,15.9,59.38
70,29,Apr,2018,18,4.175262393251023,13.9,72.52
71,29,Apr,2018,19,18.798147189447345,12.600000000000001,83.47
72,29,Apr,2018,20,34.69951864669992,12.100000000000001,88.32000000000001
73,29,Apr,2018,21,35.70563741893474,11.8,90.92
74,29,Apr,2018,22,30.384791807397338,11.600000000000001,91.9
75,29,Apr,2018,23,21.643053577707704,11.3,92.52
76,30,Apr,2018,0,19.09800069585347,10.9,93.92
77,30,Apr,2018,1,16.968625696662635,10.5,95.27
78,30,Apr,2018,2,14.132022536110126,10.100000000000001,97.28
79,30,Apr,2018,3,12.808868421052637,9.9,98.48
80,30,Apr,2018,4,4.5273324022346415,10,97.93
81,30,Apr,2018,5,5.354108007448787,11.100000000000001,91.14
82,30,Apr,2018,6,3.4994413407821203,12.8,78.33
83,30,Apr,2018,7,2.5462372971534983,14.5,65.43
84,30,Apr,2018,8,2.3242857142857107,16.3,56.07
85,30,Apr,2018,9,2.3242857142857107,17.8,49.84
