,Day,Month,Year,Hour,Demand (kWh)
0,26,Apr,2018,20,0.2198326996197718
1,26,Apr,2018,21,3.4695700420252154
2,26,Apr,2018,22,6.71265419109681
3,26,Apr,2018,23,7.3643420105202635
4,27,Apr,2018,0,12.349323110347635
5,27,Apr,2018,1,3.4310608200836406
6,27,Apr,2018,2,5.605006341181252
7,27,Apr,2018,3,13.562519569566117
8,27,Apr,2018,4,13.290562618364588
9,27,Apr,2018,5,6.200066466219519
10,27,Apr,2018,6,1.8831236090766574
11,27,Apr,2018,7,0.8518042813455647
12,27,Apr,2018,8,0.8518042813455647
13,27,Apr,2018,9,0.8518042813455647
14,27,Apr,2018,10,0.8518042813455647
15,27,Apr,2018,11,0.8518042813455647
16,27,Apr,2018,12,0.8518042813455647
17,27,Apr,2018,13,0.8518042813455647
18,27,Apr,2018,14,1.5495801917097096
19,27,Apr,2018,15,5.851223113493811
20,27,Apr,2018,16,29.564024495967157
21,27,Apr,2018,17,42.81122048936247
22,27,Apr,2018,18,63.15319212506556
23,27,Apr,2018,19,55.70554595296845
24,27,Apr,2018,20,41.29614133045746
25,27,Apr,2018,21,34.24514352829694
26,27,Apr,2018,22,27.79095360908743
27,27,Apr,2018,23,13.025682659332677
28,28,Apr,2018,0,17.24473826691008
29,28,Apr,2018,1,18.182442847327707
30,28,Apr,2018,2,23.916733631321634
31,28,Apr,2018,3,26.8247779983758
32,28,Apr,2018,4,22.375761963553973
33,28,Apr,2018,5,21.659545543650882
34,28,Apr,2018,6,18.00798873421571
35,28,Apr,2018,7,17.901691136761134
36,28,Apr,2018,8,18.103389931941855
37,28,Apr,2018,9,13.451747885495195
38,28,Apr,2018,10,8.610976801157847
39,28,Apr,2018,11,8.610976801157847
40,28,Apr,2018,12,8.610976801157847
41,28,Apr,2018,13,10.35901803827125
42,28,Apr,2018,14,14.391059275384649
43,28,Apr,2018,15,11.62146653519579
44,28,Apr,2018,16,19.71955200082099
45,28,Apr,2018,17,27.224190716985692
46,28,Apr,2018,18,25.6175589094413
47,28,Apr,2018,19,46.69146524004254
48,28,Apr,2018,20,45.585085575454805
49,28,Apr,2018,21,31.10541352716231
50,28,Apr,2018,22,21.521599313529048
51,28,Apr,2018,23,13.984842524684048
52,29,Apr,2018,0,18.59963245851332
53,29,Apr,2018,1,23.5614424642913
54,29,Apr,2018,2,23.058994866360774
55,29,Apr,2018,3,29.180993747264463
56,29,Apr,2018,4,19.158992865860547
57,29,Apr,2018,5,14.956908814719732
58,29,Apr,2018,6,8.479849766414034
59,29,Apr,2018,7,4.023908007573228
60,29,Apr,2018,8,2.3630136986301387
61,29,Apr,2018,9,2.3630136986301387
62,29,Apr,2018,10,2.3630136986301387
63,29,Apr,2018,11,2.3630136986301387
64,29,Apr,2018,12,2.3630136986301387
65,29,Apr,2018,13,2.3630136986301387
66,29,Apr,2018,14,0.0
67,29,Apr,2018,15,0.0
