Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,84341,-,-,-,34.13,-118.14,-8,240,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo
2019,1,1,0,30,0,0,0,-6,3.5,972,49.72,47,4,0.14
2019,1,1,1,30,0,0,0,-6,3.1,973,51.160000000000004,45,3.9000000000000004,0.14
2019,1,1,2,30,0,0,0,-6.2,3,973,50.79,46,4.2,0.14
2019,1,1,3,30,0,0,0,-6.9,2.9000000000000004,973,48.52,47,4.4,0.14
2019,1,1,4,30,0,0,0,-7,2.7,974,48.74,47,4.3,0.14
2019,1,1,5,30,0,0,0,-7,2.5,975,49.43,47,4,0.14
2019,1,1,6,30,0,0,0,-7,2.9000000000000004,976,48.01,47,4.1000000000000005,0.14
2019,1,1,7,30,47,29,33,-6.9,4.7,976,42.7,47,4.9,0.14
2019,1,1,8,30,795,47,251,-7.1000000000000005,7.300000000000001,977,35.29,47,6.1000000000000005,0.14
2019,1,1,9,30,911,59,418,-8.200000000000001,9.4,978,28.060000000000002,47,6.800000000000001,0.14
2019,1,1,10,30,963,66,538,-9.1,10.700000000000001,977,23.96,44,6.7,0.14
2019,1,1,11,30,984,70,600,-9.600000000000001,11.4,977,22.080000000000002,40,6.4,0.14
2019,1,1,12,30,978,72,595,-9.700000000000001,11.700000000000001,976,21.47,36,6.2,0.14
2019,1,1,13,30,944,71,525,-9.600000000000001,11.700000000000001,976,21.57,35,5.9,0.14
2019,1,1,14,30,878,65,397,-9.600000000000001,11.3,975,22.21,34,5.300000000000001,0.14
2019,1,1,15,30,739,52,226,-9.200000000000001,10.9,975,23.5,33,4.9,0.14
2019,1,1,16,30,370,25,49,-7.1000000000000005,6.800000000000001,976,36.34,32,3,0.14
2019,1,1,17,30,0,0,0,-6.5,5.1000000000000005,977,42.76,32,2.8000000000000003,0.14
2019,1,1,18,30,0,0,0,-6.4,4.3,977,45.58,33,2.6,0.14
2019,1,1,19,30,0,0,0,-6.4,4,978,46.5,34,2.5,0.14
2019,1,1,20,30,0,0,0,-6.300000000000001,4,978,46.96,37,2.3000000000000003,0.14
2019,1,1,21,30,0,0,0,-6.300000000000001,4.1000000000000005,977,46.75,39,2.1,0.14
2019,1,1,22,30,0,0,0,-6.300000000000001,4.2,977,46.46,40,2,0.14
2019,1,1,23,30,0,0,0,-6.2,4.4,977,46.02,38,2,0.14
2019,1,2,0,30,0,0,0,-6.300000000000001,4.4,977,45.730000000000004,34,2,0.14
2019,1,2,1,30,0,0,0,-6.800000000000001,4.4,977,44.18,27,1.9000000000000001,0.14
2019,1,2,2,30,0,0,0,-7.300000000000001,4.1000000000000005,977,43.25,20,1.9000000000000001,0.14
2019,1,2,3,30,0,0,0,-7.5,3.9000000000000004,977,43.07,18,2.1,0.14
2019,1,2,4,30,0,0,0,-7.6000000000000005,3.8000000000000003,977,43.06,20,2.2,0.14
2019,1,2,5,30,0,0,0,-7.800000000000001,3.8000000000000003,978,42.51,21,2,0.14
2019,1,2,6,30,0,0,0,-8.1,4.4,979,39.7,23,1.7000000000000002,0.14
2019,1,2,7,30,388,26,60,-7.4,6.7,980,35.82,30,2,0.14
2019,1,2,8,30,758,45,239,-7.5,9.700000000000001,980,28.94,43,2.9000000000000004,0.14
2019,1,2,9,30,890,54,405,-9.8,11.9,980,21,53,3.4000000000000004,0.14
